model,method,lesion_type,predicted_grade,iou_mean,iou_std,iou_count,dice_mean,dice_std,dice_count,underpowered
resnet50,lime,MA,4,0.0010286249515327665,0.0013689770270640359,3,0.0020526465038642667,0.0027305016343783617,3,True
resnet50,lime,SE,2,0.0018635914272796428,0.003399728751499993,7,0.003700650225672457,0.00673843809163131,7,False
resnet50,lime,SE,3,0.00582528545962246,0.008238760415488178,5,0.01147728412591194,0.016147680362289807,5,False
resnet50,lime,SE,4,0.00333172528751445,0.004711771087704335,2,0.00661934291070425,0.00936116451831615,2,True
resnet50,shap,EX,2,0.014347751362278088,0.015860374886529253,14,0.027848785229091785,0.03036398084034713,14,False
resnet50,shap,EX,3,0.007584720250620555,0.013572862133528936,10,0.014739619058097902,0.026036017188026592,10,False
resnet50,shap,EX,4,0.0029973420275522,0.0030102536154545875,3,0.0059647958099356664,0.005984411062122615,3,True
resnet50,shap,HE,2,0.004695459250617305,0.006050505841494753,14,0.009280305563958854,0.011932005873801757,14,False
resnet50,shap,HE,3,0.0031138424166951115,0.00389028111118928,10,0.00618146262445049,0.007704160383938446,10,False
resnet50,shap,HE,4,0.02943366818833733,0.027093260469886075,3,0.05629990524658107,0.050399304618237814,3,True
resnet50,shap,MA,2,0.0026332024395397924,0.006167332564029278,14,0.005183741613270672,0.01205104683963594,14,False
resnet50,shap,MA,3,0.00189407902166225,0.0020881682493592126,10,0.0037732009263946203,0.004155893694193642,10,False
resnet50,shap,MA,4,0.0005502802412243667,0.0004784166942686801,3,0.0010996504441190332,0.0009560360954396235,3,True
resnet50,shap,SE,2,0.0007666383985485825,0.0007913777793003947,7,0.0015310312519244596,0.00158006830772331,7,False
resnet50,shap,SE,3,0.00021662471005424,0.0004843875772874628,5,0.00043278066517794003,0.0009677269866854502,5,False
resnet50,shap,SE,4,0.00538341986998,0.007212968836068252,2,0.0106579907311213,0.01427222851854231,2,True
